Parent Location,Location,Location Type
alm/Stock,A01,Internal Location
alm/Stock,A02,Internal Location
alm/Stock,A03,Internal Location
alm/Stock,A04,Internal Location
alm/Stock,A05,Internal Location
alm/Stock,A06,Internal Location
alm/Stock,A07,Internal Location
alm/Stock,A08,Internal Location
alm/Stock,A09,Internal Location
alm/Stock,A10,Internal Location
alm/Stock,A12,Internal Location
alm/Stock,A13,Internal Location
alm/Stock,A14,Internal Location
alm/Stock,A15,Internal Location
alm/Stock,A16,Internal Location
alm/Stock,A17,Internal Location
alm/Stock,A18,Internal Location
alm/Stock,A25,Internal Location
alm/Stock,B01,Internal Location
alm/Stock,B02,Internal Location
alm/Stock,B03,Internal Location
alm/Stock,B04,Internal Location
alm/Stock,B05,Internal Location
alm/Stock,B06,Internal Location
alm/Stock,B07,Internal Location
alm/Stock,B08,Internal Location
alm/Stock,B09,Internal Location
alm/Stock,B10,Internal Location
alm/Stock,B11_Cuarentena,Internal Location
alm/Stock,B12,Internal Location
alm/Stock,B13,Internal Location
alm/Stock,B14,Internal Location
alm/Stock,B15,Internal Location
alm/Stock,B16,Internal Location
alm/Stock,C01,Internal Location
alm/Stock,C02,Internal Location
alm/Stock,C03,Internal Location
alm/Stock,C04,Internal Location
alm/Stock,C05,Internal Location
alm/Stock,C06,Internal Location
alm/Stock,C07,Internal Location
alm/Stock,C08,Internal Location
alm/Stock,C09,Internal Location
alm/Stock,C10,Internal Location
alm/Stock,C11,Internal Location
alm/Stock,C12,Internal Location
alm/Stock,C13,Internal Location
alm/Stock,C14,Internal Location
alm/Stock,C15,Internal Location
alm/Stock,C16,Internal Location
alm/Stock,C18,Internal Location
alm/Stock,C32,Internal Location
alm/Stock,Cuarentena,Internal Location
alm/Stock,D03,Internal Location
alm/Stock,D15,Internal Location
alm/Stock,D16,Internal Location
alm/Stock,E03,Internal Location
alm/Stock,E15,Internal Location
alm/Stock,E16,Internal Location
alm/Stock,Embarque,Internal Location
alm/Stock,Empaque,Internal Location
alm/Stock,F01,Internal Location
alm/Stock,F02,Internal Location
alm/Stock,F03,Internal Location
alm/Stock,F15,Internal Location
alm/Stock,F16,Internal Location
alm/Stock,G03,Internal Location
alm/Stock,Pigmentos,Internal Location
alm/Stock,Piso_De_Almacen,Internal Location
alm/Stock,Piso_De_Inyeccion,Internal Location
alm/Stock,Revision,Internal Location
